mid,original_text,like_count,comment_count,repost_count,pictures,source_device,country,province,city,created_at,user_id
5052062495409598,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E4%B8%AD%E9%87%91%23&isnewpage=1"" data-hide=""""><span class=""surl-text"">#中金#</span></a>一张图看懂金融行业大厂分布  1 国际投行 GoldmanSachs高盛、摩根士丹利、摩根大通证券、 BoFASecurities美银证券、花旗CITI   2 国内券商 中信证券、华泰证券、中金CICC、中信建投证券   3 公募基金 易方达基金、广发基金、汇添富基金、华夏基金、南方基   4I VC SEQUOIA红杉资本、IDG资本、高 ...<a href=""/status/5052062495409598"">全文</a>",195,13,86,['https://wx2.sinaimg.cn/orj360/006qnE67gy1hraufwtvysj30r20zcq9a.jpg'],Xiaomi 14 Ultra,中国,广东,深圳,2024-07-03 14:43:44+08:00,5886617411
5052709889377520,"中金的不幸事件还在发酵。 或许每位勤奋学习的人都会非常要强。 认为不断努力，就会不断进步。 这样的人，从小优秀，接受不了挫折。 弦绷得太紧，实际上往往更脆弱 直到崩断。 应该意识到心中那个永远进步，永远向上的未来，实际上并不存在。 或者应该让证券从业人员亲自下场炒炒A股。 也就知道，3000 ...<a href=""/status/5052709889377520"">全文</a>",97,15,3,[],,中国,安徽,,2024-07-05 09:36:15+08:00,2135183661
5052344062183707,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E4%B8%AD%E9%87%91%E5%91%98%E5%B7%A5%E4%BA%BA%E5%9D%87%E6%9C%88%E8%96%AA%E9%99%8D%E8%87%B33.5%E4%B8%87%E5%85%83%23&extparam=%23%E4%B8%AD%E9%87%91%E5%91%98%E5%B7%A5%E4%BA%BA%E5%9D%87%E6%9C%88%E8%96%AA%E9%99%8D%E8%87%B33.5%E4%B8%87%E5%85%83%23"" data-hide=""""><span class=""surl-text"">#中金员工人均月薪降至3.5万元#</span></a>  这种热点发出来就是找骂的，不管怎么写降薪，只要还有3.5万，那就是被骂的对象，因为只看这个数字，就足以超过全国95%的打工人。这个3.5万要看怎么算，如果是基本月薪，那非常高了，如果含了年终奖，那就不算高，在京沪年四五十万，真的很普通，实话实说。想想几年前炫 ...<a href=""/status/5052344062183707"">全文</a>",524,70,5,[],微博网页版,中国,广东,深圳,2024-07-04 09:22:35+08:00,1725399111
5065468595667878,"Today is my last day at CICC<span class=""url-icon""><img alt=[太开心] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_taikaixin-b7d86de3fd.png"" style=""width:1em; height:1em;"" /></span> <a  href=""http://weibo.com/p/100101B2094251D168A4F5429D"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_location_default.png'></span><span class=""surl-text"">上海·上海衡山路十二号华邑酒店</span></a> ",19,10,0,"['https://wx2.sinaimg.cn/orj360/008833uqgy1hshm2i3ll3j32c0340hdv.jpg', 'https://wx3.sinaimg.cn/orj360/008833uqgy1hshm2n4aemj32c0340qv9.jpg', 'https://wx3.sinaimg.cn/orj360/008833uqgy1hshm2qboxej32c0340kjm.jpg', 'https://wx2.sinaimg.cn/orj360/008833uqgy1hshm2rnfchj32c0340npe.jpg', 'https://wx3.sinaimg.cn/orj360/008833uqgy1hshm2tk1qkj32c0340x6q.jpg', 'https://wx3.sinaimg.cn/orj360/008833uqgy1hshm2g79wkj32c0340qv6.jpg', 'https://wx3.sinaimg.cn/orj360/008833uqgy1hshm48fwkdj32c0340x6q.jpg', 'https://wx3.sinaimg.cn/orj360/008833uqgy1hshm30h04zj32c0340e84.jpg', 'https://wx2.sinaimg.cn/orj360/008833uqgy1hshm32bol5j33402c0npe.jpg']",iPhone客户端,中国,上海,上海,2024-08-09 14:34:48+08:00,7448001746
5060464623223003,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E4%B8%AD%E4%BF%A1%E5%BB%BA%E6%8A%95%E5%AE%9E%E4%B9%A0%E7%94%9F%E6%B3%84%E6%BC%8FIPO%E6%9D%90%E6%96%99%23&extparam=%23%E4%B8%AD%E4%BF%A1%E5%BB%BA%E6%8A%95%E5%AE%9E%E4%B9%A0%E7%94%9F%E6%B3%84%E6%BC%8FIPO%E6%9D%90%E6%96%99%23"" data-hide=""""><span class=""surl-text"">#中信建投实习生泄漏IPO材料#</span></a><a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E4%B8%AD%E4%BF%A1%E5%BB%BA%E6%8A%95%E5%9B%9E%E5%BA%94%E7%BD%91%E4%BC%A0%E9%AB%98%E6%A0%A1%E5%AD%A6%E7%94%9F%E8%A7%86%E9%A2%91%23&extparam=%23%E4%B8%AD%E4%BF%A1%E5%BB%BA%E6%8A%95%E5%9B%9E%E5%BA%94%E7%BD%91%E4%BC%A0%E9%AB%98%E6%A0%A1%E5%AD%A6%E7%94%9F%E8%A7%86%E9%A2%91%23"" data-hide=""""><span class=""surl-text"">#中信建投回应网传高校学生视频#</span></a> 跟投行的朋友聊到这事，对爆出来的项目方来说未必是坏事，流量突然来了，久旱逢甘霖，有的之前融资困难，这下有资金方找过来了。 朋友来了一句，“我还想再发几个项目让他帮我也拍一拍呢”<span class=""url-icon""><img alt=[笑cry] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_xiaoku-f2bd11b506.png"" style=""width:1em; height:1em;"" /></span> 至于说中信建投，会不会变成第2个CICC，就 ...<a href=""/status/5060464623223003"">全文</a>",16,5,1,['https://wx3.sinaimg.cn/orj360/64daf70fgy1hs1ndn1mvuj20wi14hjyk.jpg'],iPhone客户端,中国,上海,上海,2024-07-26 19:10:47+08:00,1692071695
5045827574434583,"阿尔法∙罗密欧在中国意大利商会（CICC）“2024年度金熊猫颁奖典礼”上荣获 “ 2024 Edition ITALIAN EXCELLENCE 意大利卓越奖”，以表彰品牌在过去一年中，在相关领域最好的代表了意大利制造的卓越品质。颁奖典礼于2024年6月15日星期六在上海举行。由中国意大利商会组织的金熊猫颁奖典礼已成为意大利 ...<a href=""/status/5045827574434583"">全文</a>",39,5,4,"['https://wx4.sinaimg.cn/orj360/006zPgjZgy1hqqyd66xxmj33pc2gwkjm.jpg', 'https://wx1.sinaimg.cn/orj360/006zPgjZgy1hqqyd68h10j33pc2gwqv6.jpg', 'https://wx1.sinaimg.cn/orj360/006zPgjZgy1hqqyd68y7yj32gy3pcqv6.jpg', 'https://wx4.sinaimg.cn/orj360/006zPgjZgy1hqqyd4g7gej31bf0zkgsa.jpg', 'https://wx4.sinaimg.cn/orj360/006zPgjZgy1hqqyd41tjdj318g0tn0zk.jpg', 'https://wx1.sinaimg.cn/orj360/006zPgjZgy1hqqzs3yd3wj30zi1begpc.jpg', 'https://wx3.sinaimg.cn/orj360/006zPgjZgy1hqqyd59dymj32gw1nab29.jpg', 'https://wx2.sinaimg.cn/orj360/006zPgjZgy1hqqzr2d41fj31hc0zkwns.jpg', 'https://wx1.sinaimg.cn/orj360/006zPgjZgy1hqqyd5g31vj318g0tntjg.jpg']",微博网页版,中国,上海,,2024-06-16 09:48:23+08:00,6026186223
5104274920965927,ccccd ,4,0,0,"['https://wx1.sinaimg.cn/orj360/008zFQT4gy1hvxezkssidj30yo13ygx4.jpg', 'https://wx2.sinaimg.cn/orj360/008zFQT4gy1hvxezk9dytj316o1kwb2a.jpg']",iPhone客户端,中国,广东,,2024-11-24 16:37:16+08:00,7856209166
5052581003395991,"红圈所的律师、湾区的码农夫妇、CICC的分析师，三年来的第四个 没想到联系人头像一个个灰下去的一天会来的这么快，尽管早有大洪水淹没一切或者所谓硬着陆的预期，看到朋友圈刷屏甚至热搜的时候依然只觉得魔幻 遇到了太多天之骄子，自己甚至也一度觉得，只要个体足够优秀和努力，或许在下行的大环境下还 ...<a href=""/status/5052581003395991"">全文</a>",23,1,2,['https://wx2.sinaimg.cn/orj360/005MEGWEgy1hrci60olhej30k00l2dic.jpg'],微博网页版,中国,上海,上海,2024-07-05 01:04:06+08:00,5299626492
5052114022436483,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E4%B8%AD%E9%87%91%E7%A6%BB%E4%B8%96%E5%91%98%E5%B7%A5%E5%B9%B4%E4%BB%8530%E5%B2%81%23&extparam=%23%E4%B8%AD%E9%87%91%E7%A6%BB%E4%B8%96%E5%91%98%E5%B7%A5%E5%B9%B4%E4%BB%8530%E5%B2%81%23"" data-hide=""""><span class=""surl-text"">#中金离世员工年仅30岁#</span></a> 不能将责任推给时代，降薪后仍有数万月薪的金融白领活不下去，让那些年薪才几万的打工人如何自处呢？想起一位也是清北交复毕业的PM朋友，私募业绩不好大幅降薪，不管钱了换岗踏踏实实做研究，房子从15w跌至11w，首付早没了咬牙卖出止损；股市里奋斗十年自己身家也算跌没了；现 ...<a href=""/status/5052114022436483"">全文</a>",15,1,5,[],微博 HTML5 版,中国,北京,北京,2024-07-03 18:08:29+08:00,2610985105
5007170945158946,🌟面试解锁001🔓【中金公司CICC】  打响应届求职面试第一枪💥 ,196,61,0,"['https://wx1.sinaimg.cn/orj360/0075fA62ly1hnbmr2q6d2j30mz0b6gnr.jpg', 'https://wx3.sinaimg.cn/orj360/0075fA62ly1hnbmr34gv1j30mz0m5acg.jpg']",iPhone XR,中国,北京,,2024-03-01 17:40:45+08:00,6490525182
